MARCA,SUB-CATEGORIA,CANAL ,SKU,CÓDIGO DE BARRAS,PRODUCTO,Ciudades,Unidades distribuidas , Tamaño ,2021 ENERO,2021 FEBRERO,2021 MARZO,2021 ABRIL,2021 MAYO,2021 JUNIO,2022 ENERO,2022 FEBRERO,2022 MARZO,2022 ABRIL,2022 MAYO,2022 JUNIO, Total 2021 , Total 2022 , Total general 
INFANTI,VASOS ENTRENADORES,Autoservicios,5498,7.50103E+12,VASO GLOW 2 PACK,Ciudad de Mexico,"24,728",0,26,41,0,0,24,0,17,0,0,12,0,2,91,31,122
INFANTI,VASOS ENTRENADORES,Autoservicios,5500,7.50103E+12,VASO ABC,Ciudad de Mexico,"24,729",0,0,79,7,97,154,0,77,29,224,36,0,0,337,366,703
INFANTI,VASOS ENTRENADORES,Autoservicios,5528,7.50103E+12,VASO GLOW 1 PACK,Monterrey,"24,730",0,10,16,0,29,115,13,12,6,0,20,37,0,182,76,258
INFANTI,VASOS ENTRENADORES,Autoservicios,5538,7.50103E+12,REEMPLAZO BS 2PACK,Guadalajara,"24,731",0,0,0,0,0,0,0,0,178,0,13,19,0, -   ,210,210
INFANTI,VASOS ENTRENADORES,Autoservicios,8201,7.50103E+12,VASO TODDLER NINO,Guadalajara,"24,732",0,146,0,0,0,96,0,54,7,0,0,0,0,242,61,304
INFANTI,VASOS ENTRENADORES,Autoservicios,8207,7.50103E+12,VASO TODDLER NINA,Monterrey,"24,733",0,55,72,0,0,38,0,48,0,0,26,0,2,166,77,242
INFANTI,VASOS ENTRENADORES,Autoservicios,6572,7.50103E+12,VASO SPORT BS 10 OZ,Ciudad de Mexico,"24,734",0 OZ,0,0,0,31,152,0,0,0,0,0,50,0,184,50,234
INFANTI,VASOS ENTRENADORES,Autoservicios,6710,7.50103E+12,VASO SPORT BD 10 OZ,Ciudad de Mexico,"24,735",0 OZ,14,0,0,14,17,0,29,0,0,8,0,0,46,37,83
INFANTI,VASOS ENTRENADORES,Autoservicios,5442,7.50103E+12,VASO BD AVENTURAS,Ciudad de Mexico,"24,736",0,113,0,82,125,115,41,0,166,278,130,31,29,475,634,"1,109"
INFANTI,VASOS ENTRENADORES,Autoservicios,5462,7.50103E+12,TAZA BASICA BS 10OZ,Monterrey,"24,737",10OZ,0,0,0,0,22,0,22,0,0,7,0,0,22,29,50
INFANTI,VASOS ENTRENADORES,Autoservicios,5473,7.50103E+12,VASO SEA BOQ SUAVE,Monterrey,"24,738",0,0,0,0,0,29,0,24,0,0,4,23,0,29,50,79
INFANTI,VASOS ENTRENADORES,Autoservicios,8169,7.50103E+12,VASO SPORT 10 OZ,Monterrey,"24,739",0 OZ,24,0,27,14,50,27,16,11,14,13,29,0,142,83,226
INFANTI,VASOS ENTRENADORES,Autoservicios,8171,7.50103E+12,TAZA CALMAT BS 8 OZ,Guadalajara,"24,740",8 OZ,0,25,67,46,91,0,76,42,194,44,0,0,229,356,586
INFANTI,VASOS ENTRENADORES,Autoservicios,5430,7.50103E+12,VASO TUMBL BD FANTA,Ciudad de Mexico,"24,741",0,14,30,0,2,23,91,40,19,0,55,19,0,161,133,294
INFANTI,VASOS ENTRENADORES,Autoservicios,5495,7.50103E+12,VASO BOQ SUAVE PETS,Ciudad de Mexico,"24,742",0,0,0,0,0,0,0,0,102,0,8,14,0, -   ,125,125
INFANTI,VASOS ENTRENADORES,Autoservicios,5494,7.50103E+12,VASO POPOTE DIVERTI,Monterrey,"24,743",0,67,0,0,0,50,0,29,20,0,0,0,0,118,49,167
INFANTI,VASOS ENTRENADORES,Autoservicios,5498,7.50103E+12,VASO GLOW 2 PACK,Guadalajara,"24,744",0,38,19,0,0,29,0,22,0,0,17,0,14,86,53,139
INFANTI,VASOS ENTRENADORES,Autoservicios,5500,7.50103E+12,VASO ABC,Guadalajara,"24,745",0,0,0,0,22,84,0,0,0,0,0,44,0,106,44,150
INFANTI,VASOS ENTRENADORES,Autoservicios,5528,7.50103E+12,VASO GLOW 1 PACK,Monterrey,"24,746",0,6,1,0,0,11,0,14,0,0,2,0,0,18,17,35
INFANTI,VASOS ENTRENADORES,Autoservicios,5538,7.50103E+12,REEMPLAZO BS 2PACK,Ciudad de Mexico,"24,747",0,41,0,65,113,65,53,0,125,168,144,34,22,336,492,828
INFANTI,VASOS ENTRENADORES,Autoservicios,8201,7.50103E+12,VASO TODDLER NINO,Ciudad de Mexico,"24,748",0,0,0,0,0,12,0,11,0,0,5,0,0,12,16,28
INFANTI,VASOS ENTRENADORES,Autoservicios,8207,7.50103E+12,VASO TODDLER NINA,Ciudad de Mexico,"24,749",0,0,0,0,0,14,0,12,0,0,4,12,0,14,28,42
